linkage positions,3 Letter Code,Enantiomer L/D,Short Name,Ring f/p,anomer a/b,,Helper Column don't save me,,,,,,Notes
"4,3,2",TAA,D,Ara,p,a,,,,,,,,https://glycam.org/docs/forcefield/glycam-naming-2/index.html
"4,3",WAA,D,Ara,p,a,,,,,,,,"Technically 64^3 available codes, but cannot overlap with existing codes like ASN or ROH"
"4,2",YAA,D,Ara,p,a,,,,,,,,~2189 carbohydrates exist with current naming system
4,4AA,D,Ara,p,a,,,,,,,,
"3,2",ZAA,D,Ara,p,a,,,,,,,,
3,3AA,D,Ara,p,a,,,,,,,,
2,2AA,D,Ara,p,a,,,,,,,,
1,1AA,D,Ara,p,a,,,,,,,,
0,0AA,D,Ara,p,a,,,,,,,,
"4,3,2",TAB,D,Ara,p,b,,,,,,,,
"4,3",WAB,D,Ara,p,b,,,,,,,,
"4,2",YAB,D,Ara,p,b,,,,,,,,
4,4AB,D,Ara,p,b,,,,,,,,
"3,2",ZAB,D,Ara,p,b,,,,,,,,
3,3AB,D,Ara,p,b,,,,,,,,
2,2AB,D,Ara,p,b,,,,,,,,
1,1AB,D,Ara,p,b,,,,,,,,
0,0AB,D,Ara,p,b,,,,,,,,
"5,3,2",nAD,D,Ara,f,a,,,,,,,,
"5,3",tAD,D,Ara,f,a,,,,,,,,
"5,2",uAD,D,Ara,f,a,,,,,,,,
5,5AD,D,Ara,f,a,,,,,,,,
"3,2",ZAD,D,Ara,f,a,,,,,,,,
3,3AD,D,Ara,f,a,,,,,,,,
2,2AD,D,Ara,f,a,,,,,,,,
1,1AD,D,Ara,f,a,,,,,,,,
0,0AD,D,Ara,f,a,,,,,,,,
"5,3,2",nAU,D,Ara,f,b,,,,,,,,
"5,3",tAU,D,Ara,f,b,,,,,,,,
"5,2",uAU,D,Ara,f,b,,,,,,,,
5,5AU,D,Ara,f,b,,,,,,,,
"3,2",ZAU,D,Ara,f,b,,,,,,,,
3,3AU,D,Ara,f,b,,,,,,,,
2,2AU,D,Ara,f,b,,,,,,,,
1,1AU,D,Ara,f,b,,,,,,,,
0,0AU,D,Ara,f,b,,,,,,,,
"1,5,4,3",yBA,D,Sor,p,a,,,,,,,,
"1,5,4",vBA,D,Sor,p,a,,,,,,,,
"1,5,3",nBA,D,Sor,p,a,,,,,,,,
"1,5",uBA,D,Sor,p,a,,,,,,,,
"1,4,3",TBA,D,Sor,p,a,,,,,,,,
"1,4",YBA,D,Sor,p,a,,,,,,,,
"1,3",ZBA,D,Sor,p,a,,,,,,,,
1,1BA,D,Sor,p,a,,,,,,,,
"5,4,3",xBA,D,Sor,p,a,,,,,,,,
"5,4",sBA,D,Sor,p,a,,,,,,,,
"5,3",tBA,D,Sor,p,a,,,,,,,,
5,5BA,D,Sor,p,a,,,,,,,,
"4,3",WBA,D,Sor,p,a,,,,,,,,
4,4BA,D,Sor,p,a,,,,,,,,
3,3BA,D,Sor,p,a,,,,,,,,
2,2BA,D,Sor,p,a,,,,,,,,
0,0BA,D,Sor,p,a,,,,,,,,
"5,4,3,1",yBB,D,Sor,p,b,,,,,,,,
"5,4,3",xBB,D,Sor,p,b,,,,,,,,
"5,4,1",vBB,D,Sor,p,b,,,,,,,,
"5,4",sBB,D,Sor,p,b,,,,,,,,
"5,3,1",nBB,D,Sor,p,b,,,,,,,,
"5,3",tBB,D,Sor,p,b,,,,,,,,
"5,1",uBB,D,Sor,p,b,,,,,,,,
5,5BB,D,Sor,p,b,,,,,,,,
"4,3,1",TBB,D,Sor,p,b,,,,,,,,
"4,3",WBB,D,Sor,p,b,,,,,,,,
"4,1",YBB,D,Sor,p,b,,,,,,,,
4,4BB,D,Sor,p,b,,,,,,,,
"3,1",ZBB,D,Sor,p,b,,,,,,,,
3,3BB,D,Sor,p,b,,,,,,,,
1,1BB,D,Sor,p,b,,,,,,,,
2,2BB,D,Sor,p,b,,,,,,,,
0,0BB,D,Sor,p,b,,,,,,,,
3,3BC,D,Bac,p,a,,,,,,,,
1,1BC,D,Bac,p,a,,,,,,,,
0,0BC,D,Bac,p,a,,,,,,,,
"1,6,4,3",PBD,D,Sor,f,a,,,,,,,,
"1,6,4",RBD,D,Sor,f,a,,,,,,,,
"1,6,3",SBD,D,Sor,f,a,,,,,,,,
"1,6",XBD,D,Sor,f,a,,,,,,,,
"1,4,3",TBD,D,Sor,f,a,,,,,,,,
"1,4",YBD,D,Sor,f,a,,,,,,,,
"1,3",ZBD,D,Sor,f,a,,,,,,,,
1,1BD,D,Sor,f,a,,,,,,,,
"6,4,3",QBD,D,Sor,f,a,,,,,,,,
"6,4",UBD,D,Sor,f,a,,,,,,,,
"6,3",VBD,D,Sor,f,a,,,,,,,,
6,6BD,D,Sor,f,a,,,,,,,,
"4,3",WBD,D,Sor,f,a,,,,,,,,
4,4BD,D,Sor,f,a,,,,,,,,
3,3BD,D,Sor,f,a,,,,,,,,
2,2BD,D,Sor,f,a,,,,,,,,
0,0BD,D,Sor,f,a,,,,,,,,
"6,4,3,1",PBU,D,Sor,f,b,,,,,,,,
"6,4,3",QBU,D,Sor,f,b,,,,,,,,
"6,4,1",RBU,D,Sor,f,b,,,,,,,,
"6,4",UBU,D,Sor,f,b,,,,,,,,
"6,3,1",SBU,D,Sor,f,b,,,,,,,,
"6,3",VBU,D,Sor,f,b,,,,,,,,
"6,1",XBU,D,Sor,f,b,,,,,,,,
6,6BU,D,Sor,f,b,,,,,,,,
"4,3,1",TBU,D,Sor,f,b,,,,,,,,
